group,metric,episode,mean,std,min,max,seed_count
MAPPO+Learned(id),travel_time,98,819.7225,24.59657812149217,787.4232,847.0549,3
MAPPO+Learned(id),travel_time,99,818.68,39.429661826853156,766.0853,861.0209,3
MAPPO+Learned(id),travel_time,100,799.7081,26.6879699881176,763.801,827.7305,3
MAPPO+Learned(id),travel_time,101,827.8779666666668,41.0928773663055,775.3102,875.619,3
MAPPO+Learned(id),travel_time,102,805.9785,22.035911449419693,782.659,835.5414,3
MAPPO+Learned(id),travel_time,103,814.4143,31.296370221587438,784.801,857.7075,3
MAPPO+Learned(id),travel_time,104,823.6331333333334,21.16619571869783,803.1356,852.7737,3
MAPPO+Learned(id),travel_time,105,791.8486666666666,67.95974479853662,696.2008,847.8215,3
MAPPO+Learned(id),travel_time,106,760.1199333333334,52.14089414757754,692.6275,819.5875,3
MAPPO+Learned(id),travel_time,107,717.0048333333333,77.20328671606038,613.1586,798.1254,3
MAPPO+Learned(id),travel_time,108,718.7946333333333,59.46640180451105,661.8842,800.8715,3
MAPPO+Learned(id),travel_time,109,716.6415000000001,78.64846930220577,644.4943,826.0258,3
MAPPO+Learned(id),travel_time,110,702.7623,79.926058592218,624.1512,812.4062,3
MAPPO+Learned(id),travel_time,111,702.0849000000002,61.93188397925582,637.2936,785.5188,3
MAPPO+Learned(id),travel_time,112,674.5916,115.76112754429555,518.3913,795.1424,3
MAPPO+Learned(id),travel_time,113,619.8836,99.75256212392073,492.7355,736.381,3
MAPPO+Learned(id),travel_time,114,640.0018666666667,108.23659156281465,489.9348,741.1629,3
MAPPO+Learned(id),travel_time,115,647.6478999999999,84.08693556104105,542.5878,748.4242,3
MAPPO+Learned(id),travel_time,116,669.525,88.2485921979873,553.3633,767.1225,3
MAPPO+Learned(id),travel_time,117,665.8557333333333,90.39402940763782,538.5871,739.9132,3
MAPPO+Learned(id),travel_time,118,639.0332666666667,130.54850646941756,454.7266,740.5492,3
MAPPO+Learned(id),travel_time,119,586.8228,117.4230860029662,420.8116,673.3615,3
MAPPO+Learned(id),travel_time,120,584.2672666666666,113.23146133780821,424.1771,667.5372,3
MAPPO+Learned(id),travel_time,121,577.5619333333333,138.32505789350756,384.5113,701.461,3
MAPPO+Learned(id),travel_time,122,603.8654,129.73191073772097,424.0591,725.3569,3
MAPPO+Learned(id),travel_time,123,598.2559,152.28272841606167,385.5145,733.6243,3
